epoch,train_loss,val_loss,val_acc,val_macro_f1
1,1.0482481941580772,0.978154501914978,0.5975,0.24934793948878456
2,0.9239165510237217,0.8841057533025741,0.5975,0.24934793948878456
3,0.8599588683992624,0.842951920479536,0.5975,0.24934793948878456
4,0.8224521025642753,0.8102212660014629,0.60375,0.2640447319391779
5,0.7887164736911655,0.7777196687459945,0.6375,0.33650936258747866
6,0.7546675806492567,0.7459589816629887,0.68875,0.4366788343247326
7,0.723662125468254,0.7172549337148666,0.71875,0.5060078327697247
8,0.694909080453217,0.6918021067976952,0.735,0.5293470685887178
9,0.6698573307879269,0.67033283226192,0.75625,0.568533063156602
10,0.6477138680405915,0.6519954091310501,0.76375,0.5884588076673957
