guid,true_label,pred_label,true_label_id,pred_label_id,text_weight,image_weight
563,positive,negative,2,0,0.6777411103248596,0.322258859872818
4488,negative,positive,0,2,0.7550398111343384,0.24496018886566162
2432,positive,neutral,2,1,0.5356137156486511,0.46438631415367126
1781,neutral,positive,1,2,0.7607351541519165,0.2392648309469223
663,positive,negative,2,0,0.732664167881012,0.2673358619213104
531,neutral,positive,1,2,0.7336181998252869,0.26638180017471313
1703,negative,positive,0,2,0.7596389651298523,0.2403610199689865
2166,positive,neutral,2,1,0.5792478322982788,0.4207521378993988
3460,neutral,positive,1,2,0.6733920574188232,0.32660797238349915
4181,positive,neutral,2,1,0.592620849609375,0.407379150390625
891,positive,negative,2,0,0.6779501438140869,0.3220498263835907
39,neutral,positive,1,2,0.7576183080673218,0.2423817366361618
979,positive,negative,2,0,0.6822338104248047,0.3177661597728729
1310,neutral,positive,1,2,0.7694845795631409,0.23051545023918152
4967,positive,neutral,2,1,0.5319657325744629,0.4680342376232147
3537,neutral,negative,1,0,0.661105751991272,0.3388942778110504
559,negative,positive,0,2,0.7414361238479614,0.25856393575668335
1959,negative,positive,0,2,0.7466022372245789,0.25339773297309875
4047,neutral,negative,1,0,0.6159800291061401,0.38402003049850464
3013,positive,negative,2,0,0.6621918678283691,0.33780819177627563
140,neutral,positive,1,2,0.7424805164337158,0.2575194537639618
4416,negative,positive,0,2,0.7456303238868713,0.25436973571777344
1510,negative,positive,0,2,0.7619356513023376,0.23806439340114594
1706,positive,negative,2,0,0.6499915719032288,0.35000845789909363
3896,positive,neutral,2,1,0.5519686937332153,0.44803136587142944
1742,positive,negative,2,0,0.6777266263961792,0.3222734034061432
3668,negative,positive,0,2,0.7686814069747925,0.23131857812404633
4572,positive,negative,2,0,0.5754623413085938,0.42453762888908386
3409,positive,neutral,2,1,0.5403322577476501,0.45966774225234985
4051,positive,negative,2,0,0.735274076461792,0.264725923538208
745,positive,negative,2,0,0.7230491042137146,0.2769508957862854
3513,negative,positive,0,2,0.7372217178344727,0.26277831196784973
3366,positive,negative,2,0,0.6657807230949402,0.3342193365097046
2552,neutral,negative,1,0,0.649090588092804,0.35090941190719604
180,neutral,positive,1,2,0.7406477332115173,0.25935226678848267
3625,negative,neutral,0,1,0.5283172726631165,0.47168269753456116
