guid,true_label,pred_label,true_label_id,pred_label_id,text_weight,image_weight
563,positive,negative,2,0,0.5030996799468994,0.496900349855423
4488,negative,positive,0,2,0.5068853497505188,0.4931146502494812
1053,positive,neutral,2,1,0.49712568521499634,0.5028743147850037
1781,neutral,positive,1,2,0.49864035844802856,0.5013596415519714
4076,negative,positive,0,2,0.5060225129127502,0.49397748708724976
768,negative,positive,0,2,0.4998289942741394,0.5001710057258606
531,neutral,positive,1,2,0.49873799085617065,0.5012620091438293
2371,neutral,positive,1,2,0.5016906261444092,0.4983093738555908
891,positive,neutral,2,1,0.49894100427627563,0.5010589957237244
39,neutral,positive,1,2,0.5018894672393799,0.4981105327606201
4994,negative,positive,0,2,0.5099713802337646,0.49002861976623535
4033,positive,negative,2,0,0.5033553838729858,0.49664464592933655
1310,neutral,positive,1,2,0.4996974468231201,0.5003025531768799
1785,negative,positive,0,2,0.4981279969215393,0.5018720030784607
4047,neutral,positive,1,2,0.5000337958335876,0.49996620416641235
3013,positive,negative,2,0,0.5009400844573975,0.4990599453449249
140,neutral,positive,1,2,0.4954826235771179,0.5045173764228821
4217,positive,negative,2,0,0.5006420612335205,0.4993579387664795
1510,negative,positive,0,2,0.4967261552810669,0.5032738447189331
2741,negative,positive,0,2,0.5015048980712891,0.49849510192871094
3952,negative,positive,0,2,0.5012229681015015,0.4987770617008209
1742,positive,negative,2,0,0.5028218030929565,0.49717822670936584
2447,neutral,negative,1,0,0.4988166093826294,0.5011833906173706
3409,positive,neutral,2,1,0.5022209286689758,0.49777907133102417
3958,negative,positive,0,2,0.5003153085708618,0.4996846616268158
745,positive,negative,2,0,0.5053368806838989,0.4946631193161011
3513,negative,positive,0,2,0.5012674331665039,0.4987325668334961
898,positive,negative,2,0,0.4975641369819641,0.5024358630180359
2552,neutral,negative,1,0,0.5029253363609314,0.4970746636390686
180,neutral,positive,1,2,0.5012065172195435,0.49879348278045654
999,neutral,positive,1,2,0.49380630254745483,0.5061936974525452
