epoch,train_loss,val_loss,val_acc,val_macro_f1
1,0.836028855368495,0.7520867128670216,0.66125,0.3798649847282067
2,0.7224757067300379,0.6830743890255689,0.70875,0.4637100168350168
3,0.6701074420660734,0.651867950335145,0.72,0.5392457392457392
4,0.6450459461752325,0.6585607749968767,0.71,0.5693709032220728
5,0.6230703564826399,0.6273422152549029,0.74875,0.6138036488204915
6,0.6088243341911584,0.6313106293976307,0.7375,0.5384121773154225
7,0.5950470614526421,0.632034113034606,0.74375,0.5780831948864736
8,0.5853930190531537,0.6320008489489556,0.7325,0.5979413718826438
9,0.5708281881595031,0.625218217857182,0.74,0.5766510353151205
10,0.5597850824380294,0.6260614869371056,0.73375,0.6245367360682352
