epoch,train_loss,val_loss,accuracy,macro_f1,weighted_f1
1,0.8169599986076355,0.6689122813940048,0.7425,0.5939,0.7246
2,0.6624195313453675,0.6341562247276307,0.7488,0.5589,0.7218
3,0.5981271076202392,0.6160391829907894,0.7362,0.5515,0.7078
4,0.533561537861824,0.6110282154381275,0.7488,0.5803,0.7235
5,0.482040753364563,0.6142532931268215,0.74,0.6021,0.7271
6,0.42092095673084257,0.6251475714892148,0.7425,0.6132,0.7301
7,0.3557198566198349,0.634134649336338,0.7412,0.639,0.7375
8,0.29630351811647415,0.6403552800789476,0.7512,0.647,0.7455
9,0.25382776580750943,0.6610501305013895,0.7425,0.6208,0.7321
10,0.20148629676550628,0.6849086803942919,0.7375,0.6227,0.728
11,0.16670227877795696,0.7094873857684434,0.7412,0.6351,0.7332
12,0.13685815937817097,0.7384998847730457,0.7388,0.6349,0.733
13,0.10834326971322299,0.7687797831278295,0.735,0.5978,0.7203
14,0.09550197757780551,0.7817738230805844,0.7412,0.6349,0.7312
